filename,labeled_by,split,regions
IMG_4154.jpg,original,train,23
IMG_4155.jpg,original,train,23
IMG_4156.jpg,original,train,60
IMG_4157.jpg,original,train,61
IMG_4158.jpg,original,test,72
IMG_4159.jpg,original,train,59
IMG_4160.jpg,original,valid,41
IMG_4161.jpg,original,train,39
IMG_4162.jpg,original,train,50
IMG_4163.jpg,original,train,69
IMG_4164.jpg,original,train,44
IMG_4165.jpg,original,train,53
IMG_4168.jpg,original,train,144
IMG_4170_00002_jpg.rf.KYhLE9CNelgHr0WpkYQc.jpg,original,valid,46
IMG_4170_00007_jpg.rf.l10jAXgM3R0Pht5d5sEv.jpg,original,train,34
IMG_4170_00009_jpg.rf.6I98ynFJ1yH2z49aCWxN.jpg,original,train,36
IMG_4171.jpg,jara1,train,166
IMG_4173_00001_jpg.rf.mkN8W2cHYCFXx7TJpkjV.jpg,original,train,133
IMG_4184.jpg,original,train,35
IMG_4185.jpg,original,test,45
IMG_4186.jpg,original,train,102
IMG_4200.jpg,original,train,25
IMG_4211.jpg,original,train,35
IMG_4212.jpg,original,test,49
IMG_4213.jpg,original,train,48
IMG_4214.jpg,original,train,15
IMG_4215.jpg,original,train,11
IMG_4216.jpg,original,valid,9
IMG_4217.jpg,original,train,8
IMG_4218.jpg,original,train,6
IMG_4219.jpg,original,train,9
IMG_4220.jpg,original,train,6
IMG_4221.jpg,original,train,4
IMG_4222.jpg,original,train,8
IMG_4223.jpg,original,train,1
IMG_4224.jpg,original,test,26
IMG_4225.jpg,original,train,9
IMG_4226.jpg,original,train,6
IMG_4230_jpg.rf.4Cad4jutCvtposL273Wi.jpg,original,valid,4
IMG_4232_jpg.rf.TytvorpG6PWXIctd0Eg6.jpg,original,test,8
IMG_4233_jpg.rf.icDR3EThMfZkVLCiGF2f.jpg,original,train,38
IMG_4234_jpg.rf.UuXhGIIeXewM8qHks7yS.jpg,original,train,20
IMG_4237_jpg.rf.Tq6SyuxfNkirYPP9fAZW.jpg,original,test,57
IMG_4254.jpg,jara,train,7
IMG_4255.jpg,jara,train,9
IMG_4256.jpg,jara,train,8
IMG_4314.jpg,jara,train,5
IMG_4315.jpg,jara,train,8
IMG_4316.jpg,jara,train,11
IMG_4317.jpg,jara,train,13
IMG_4318.jpg,jara,train,18
IMG_4319.jpg,jara,train,21
IMG_4320.jpg,jara,train,34
IMG_4321.jpg,jara,train,30
IMG_4323.jpg,jara,train,21
IMG_4324.jpg,jara,train,14
IMG_4325.jpg,jara,train,10
IMG_4329.jpg,jara,train,21
IMG_4330.jpg,jara,train,23
IMG_4331.jpg,jara,train,22
IMG_4335.jpg,jara,train,9
IMG_4341.jpg,jara,train,8
IMG_4342.jpg,jara,train,7
IMG_4343.jpg,jara,train,5
IMG_4344.jpg,jara,train,4
IMG_4345.jpg,jara,train,5
IMG_4350.jpg,jara,train,23
IMG_4352.jpg,jara,train,9
IMG_4356.jpg,jara,train,39
IMG_4357.jpg,jara,train,37
IMG_4358.jpg,jara,train,40
IMG_4359.jpg,hasham,train,20
IMG_4362.jpg,jara,train,22
IMG_4363.jpg,jara,train,30
IMG_4364.jpg,jara,train,15
IMG_4365.jpg,jara,train,15
IMG_4366.jpg,jara,train,20
IMG_4368.jpg,jara,train,28
IMG_4369.jpg,abdul,train,6
IMG_4370.jpg,abdul,train,5
IMG_4371.jpg,abdul,train,7
IMG_4372.jpg,abdul,train,5
IMG_4373.jpg,abdul,train,16
IMG_4374.jpg,abdul,train,14
IMG_4375.jpg,abdul,train,31
IMG_4376.jpg,abdul,train,9
IMG_4377.jpg,abdul,train,9
IMG_4378.jpg,abdul,train,7
IMG_4379.jpg,abdul,train,12
IMG_4380.jpg,abdul,train,8
IMG_4381.jpg,abdul,train,38
IMG_4382.jpg,abdul,train,14
IMG_4429.jpg,jara1,train,12
IMG_4498.jpg,jara1,train,102
PXL_20260708_224100494.jpg,jara,train,140
PXL_20260708_224109979.jpg,jara,train,53
PXL_20260708_224121737.jpg,jara,train,112
PXL_20260708_224132588.jpg,jara,train,56
PXL_20260708_225320459.jpg,hasham,train,128
PXL_20260708_225328123.jpg,hasham,train,44
PXL_20260708_225332320.jpg,hasham,train,82
PXL_20260708_225337542.jpg,hasham,train,88
PXL_20260708_225345473.jpg,hasham,train,138
PXL_20260708_225350503.jpg,hasham,train,75
PXL_20260708_225409484.jpg,hasham,train,100
PXL_20260708_225426312.jpg,hasham,train,83
PXL_20260708_225505778.jpg,hasham,train,88
PXL_20260708_225529182.jpg,hasham,train,90
